Date,Offered,Answered,Abandoned,Agri_AHT,AH_AHT,Fishery_AHT,LCC_AHT
2025-02-01,1696,1629,67,183.4307692,377.5263158,184.5,115.0871985
2025-02-02,1160,1094,66,149.5555556,243.2666667,229.6666667,109.4796321
2025-02-03,1459,1385,74,168.5090909,237.625,68,119.2182018
2025-02-04,1510,1425,85,162.125,345.1428571,266.8333333,109.5623632
2025-02-05,1429,1354,75,196.9558824,324.1052632,105.8333333,108.0306407
2025-02-06,1516,1464,52,164.1190476,292.6,253.6666667,115.0296465
2025-02-07,2048,1845,203,162.8548387,280.3142857,141,118.26645
2025-02-08,1616,1550,66,136.7346939,246.0909091,182,123.4009009
2025-02-09,1334,1260,74,133.3333333,309.32,320.5,113.1236133
2025-02-10,1561,1419,142,170.5555556,294.5909091,186.2222222,116.1943867
2025-02-11,1492,1346,146,171.8695652,322.9230769,392.5,110.7746988
2025-02-12,1593,1387,206,0,0,0,104.6179775
2025-02-13,1633,1524,109,0,0,0,0
2025-02-14,1529,1221,308,172.4285714,249.9166667,389,115.9893048
2025-02-15,1445,1391,54,197.9101124,380.7083333,224.5714286,113.7635054
2025-02-16,1191,1148,43,161.4126984,360.2666667,225.5,115.0308166
2025-02-17,1395,1337,58,148.7272727,308.3157895,165.75,112.1198157
2025-02-18,1220,1182,38,154.9622642,483.3684211,375.75,113.063591
2025-02-19,1263,1201,62,178.3432836,298.2857143,584,116.3342541
2025-02-20,1375,1318,57,180.3207547,309.4615385,308.3333333,120.2440476
